medcodeid	term
138421012	Agitated depression
294642013	Presenile dementia with depression
294646011	Senile dementia with depression
294824018	Single major depressive episode, unspecified
294825017	Mild major depression, single episode
294826016	Moderate major depression, single episode
294828015	Single major depressive episode, severe, with psychosis
294831019	Single episode of major depression in full remission
294832014	Single major depressive episode NOS
294836012	Recurrent major depressive episodes, unspecified
294837015	Recurrent major depressive episodes, mild
294838013	Recurrent major depressive episodes, moderate
294840015	Recurrent major depressive episodes, severe, with psychosis
294843018	Recurrent major depression in full remission
294844012	Recurrent depression
294845013	Recurrent major depressive episode NOS
294894013	Atypical depressive disorder
294917018	Reactive depressive psychosis
294918011	Psychotic reactive depression
295535012	Depressive disorder
295537016	Chronic depression
296137015	Mild depression
296138013	[X]Moderate depressive episode
296180012	[X]Recurrent depressive disorder, current episode mild
296181011	[X]Recurrent depressive disorder, current episode moderate
296198011	[X]Recurrent depressive disorder, currently in remission
296199015	[X]Other recurrent depressive disorders
346972018	Endogenous depression first episode
346973011	Masked depression
369982012	Seasonal affective disorder
401766011	Major depression, single episode
401866015	[X]Severe depressive episode without psychotic symptoms
401869010	[X]Severe depressive episode with psychotic symptoms
401871010	[X]Other depressive episodes
401872015	[X]Depressive episode, unspecified
401873013	[X]Recurrent depressive disorder
401876017	[X]Recurrent depressive disorder, unspecified
410861011	Endogenous depression - recurrent
441826016	Endogenous depression
1773563015	Depression management programme
2533375017	Patient given advice about management of depression
2534091015	Depression interim review
2534092010	Depression medication review
2534096013	Depression annual review
3517985017	Postpartum major depression in remission
142521000006110	Major depression single episode, in partial remission
142541000006115	Severe major depression, single episode
182721000006111	Recurrent major depressive episodes
182771000006112	Recurrent major depressive episodes, severe
182801000006114	Recurrent major depressive episodes,partial/unspec remission
202561000006114	Prolonged depressive adjustment reaction
213641000000111	[X]Mild depression
223741000000112	Severe depression
294621000000118	Depression resolved
359121000006116	Reactive depression
366561000006119	[X]Atypical depression
367061000006114	Psychosis and severe depression co-occurrent and due to bipolar affective disorder
376691000006116	Depression
376711000006118	[X]Depressive disorder NOS
376721000006114	Depressive episode
376741000006119	[X]Depressive neurosis
379431000006113	Dysthymia
379771000006116	[X]Endogenous depression with psychotic symptoms
379781000006118	[X]Endogenous depression without psychotic symptoms
396081000006116	[X]Major depression, recurrent without psychotic symptoms
396771000006117	[X] Manic-depressive psychosis, depressed type without psychotic symptoms
396781000006119	[X]Manic-depress psychosis,depressed type+psychotic symptoms
398351000006110	[X]Mild anxiety depression
398561000006117	[X]Mixed anxiety and depressive disorder
398841000006119	[X]Monopolar depression NOS
