MedCodeId	Term	category
138421012	Agitated depression	diagnosis
294642013	Presenile dementia with depression	diagnosis
294646011	Senile dementia with depression	diagnosis
294824018	Single major depressive episode, unspecified	diagnosis
294825017	Mild major depression, single episode	diagnosis
294826016	Moderate major depression, single episode	diagnosis
294828015	Single major depressive episode, severe, with psychosis	diagnosis
294831019	Single episode of major depression in full remission	remission
294832014	Single major depressive episode NOS	diagnosis
294836012	Recurrent major depressive episodes, unspecified	recurrent_diag
294837015	Recurrent major depressive episodes, mild	recurrent_diag
294838013	Recurrent major depressive episodes, moderate	recurrent_diag
294840015	Recurrent major depressive episodes, severe, with psychosis	recurrent_diag
294843018	Recurrent major depression in full remission	remission
294844012	Recurrent depression	recurrent_diag
294845013	Recurrent major depressive episode NOS	recurrent_diag
294894013	Atypical depressive disorder	diagnosis
294917018	Reactive depressive psychosis	diagnosis
294918011	Psychotic reactive depression	diagnosis
295535012	Depressive disorder	diagnosis
295537016	Chronic depression	chronic_diag
296137015	Mild depression	diagnosis
296138013	[X]Moderate depressive episode	diagnosis
296180012	[X]Recurrent depressive disorder, current episode mild	recurrent_diag
296181011	[X]Recurrent depressive disorder, current episode moderate	recurrent_diag
296198011	[X]Recurrent depressive disorder, currently in remission	remission
296199015	[X]Other recurrent depressive disorders	recurrent_diag
346972018	Endogenous depression first episode	diagnosis
346973011	Masked depression	diagnosis
369982012	Seasonal affective disorder	diagnosis
401766011	Major depression, single episode	diagnosis
401866015	[X]Severe depressive episode without psychotic symptoms	diagnosis
401869010	[X]Severe depressive episode with psychotic symptoms	diagnosis
401871010	[X]Other depressive episodes	diagnosis
401872015	[X]Depressive episode, unspecified	diagnosis
401873013	[X]Recurrent depressive disorder	recurrent_diag
401876017	[X]Recurrent depressive disorder, unspecified	recurrent_diag
410861011	Endogenous depression - recurrent	recurrent_diag
441826016	Endogenous depression	diagnosis
1773563015	Depression management programme	support
2533375017	Patient given advice about management of depression	support
2534091015	Depression interim review	review
2534092010	Depression medication review	review
2534096013	Depression annual review	review
3517985017	Postpartum major depression in remission	remission
142521000006110	Major depression single episode, in partial remission	partial_remission
142541000006115	Severe major depression, single episode	diagnosis
182721000006111	Recurrent major depressive episodes	recurrent_diag
182771000006112	Recurrent major depressive episodes, severe	recurrent_diag
182801000006114	Recurrent major depressive episodes,partial/unspec remission	partial_remission
202561000006114	Prolonged depressive adjustment reaction	diagnosis
213641000000111	[X]Mild depression	diagnosis
223741000000112	Severe depression	diagnosis
294621000000118	Depression resolved	resolved
359121000006116	Reactive depression	diagnosis
